home_game_id,home_season,home_week,home_game_date,home_team_name,home_opponent,home_points_scored,home_points_allowed,home_close_game_epa_per_play,home_close_game_def_epa_per_play,home_conference,home_sp_rating,home_close_game_def_play_count,home_close_game_play_count,home_game_script,home_game_script_avg_margin,home_tier,home_home_team,home_away_team,home_side,home_conference_game_number,home_conference_game_bucket,away_game_id,away_season,away_week,away_game_date,away_team_name,away_opponent,away_points_scored,away_points_allowed,away_close_game_epa_per_play,away_close_game_def_epa_per_play,away_conference,away_sp_rating,away_close_game_def_play_count,away_close_game_play_count,away_game_script,away_game_script_avg_margin,away_tier,away_home_team,away_away_team,away_side,away_conference_game_number,away_conference_game_bucket,game_id,season,week,game_date,home_team,away_team,point_differential,total_points,close_game_epa_delta,close_game_def_epa_delta,sp_rating_delta,tier_matchup,analysis_tier,trajectory_bucket,close_game_def_play_count_delta,close_game_def_play_count_abs_delta,close_game_def_play_count_sum,close_game_play_count_delta,close_game_play_count_abs_delta,close_game_play_count_sum,game_script_avg_margin_delta,game_script_avg_margin_abs_delta,game_script_avg_margin_sum,game_script_matchup,game_script_same
401415220,2022,4,2022-09-24,Air Force,Nevada,48.0,20.0,0.4967537402597403,0.32468733333333333,Mountain West,3.9,33.0,77.0,comfortable,15.3125,G5,Air Force,Nevada,home,2,conf_games_2_4,401415220,2022,4,2022-09-24,Nevada,Air Force,20.0,48.0,0.32468733333333333,0.4967537402597403,Mountain West,-22.4,77.0,33.0,deficit,-15.418181818181818,G5,Air Force,Nevada,away,1,conf_game_1,401415220,2022,4,2022-09-24,Air Force,Nevada,28.0,68.0,0.17206640692640696,-0.17206640692640696,26.299999999999997,G5_vs_G5,G5,mixed_trajectory,-44.0,44.0,110.0,44.0,44.0,110.0,30.730681818181818,30.730681818181818,-0.10568181818181799,comfortable_vs_deficit,0
401415241,2022,8,2022-10-22,Air Force,Boise State,14.0,19.0,0.11361951666666667,0.28502537704918035,Mountain West,3.9,61.0,60.0,deficit,-9.202702702702704,G5,Air Force,Boise State,home,5,conf_games_5_8,401415241,2022,8,2022-10-22,Boise State,Air Force,19.0,14.0,0.28502537704918035,0.11361951666666667,Mountain West,5.7,60.0,61.0,competitive,7.815217391304348,G5,Air Force,Boise State,away,4,conf_games_2_4,401415241,2022,8,2022-10-22,Air Force,Boise State,-5.0,33.0,-0.17140586038251368,0.17140586038251368,-1.8000000000000003,G5_vs_G5,G5,mixed_trajectory,1.0,1.0,121.0,-1.0,1.0,121.0,-17.017920094007053,17.017920094007053,-1.3874853113983558,deficit_vs_competitive,0
401415256,2022,11,2022-11-12,Air Force,New Mexico,35.0,3.0,0.41834904347826085,-0.13452186486486487,Mountain West,3.9,37.0,69.0,comfortable,16.057471264367816,G5,Air Force,New Mexico,home,6,conf_games_5_8,401415256,2022,11,2022-11-12,New Mexico,Air Force,3.0,35.0,-0.13452186486486487,0.41834904347826085,Mountain West,-26.9,69.0,37.0,deficit,-19.419354838709676,G5,Air Force,New Mexico,away,6,conf_games_5_8,401415256,2022,11,2022-11-12,Air Force,New Mexico,32.0,38.0,0.5528709083431257,-0.5528709083431257,30.799999999999997,G5_vs_G5,G5,conf_games_5_8,-32.0,32.0,106.0,32.0,32.0,106.0,35.47682610307749,35.47682610307749,-3.36188357434186,comfortable_vs_deficit,0
401415262,2022,12,2022-11-20,Air Force,Colorado State,24.0,12.0,0.2781133943661972,0.1455587608695652,Mountain West,3.9,46.0,71.0,comfortable,10.858695652173912,G5,Air Force,Colorado State,home,7,conf_games_5_8,401415262,2022,12,2022-11-20,Colorado State,Air Force,12.0,24.0,0.1455587608695652,0.2781133943661972,Mountain West,-22.2,71.0,46.0,deficit,-13.633333333333333,G5,Air Force,Colorado State,away,7,conf_games_5_8,401415262,2022,12,2022-11-20,Air Force,Colorado State,12.0,36.0,0.132554633496632,-0.132554633496632,26.099999999999998,G5_vs_G5,G5,conf_games_5_8,-25.0,25.0,117.0,25.0,25.0,117.0,24.492028985507247,24.492028985507247,-2.7746376811594207,comfortable_vs_deficit,0
401532581,2023,3,2023-09-16,Air Force,Utah State,39.0,21.0,0.44226748529411763,0.11797001754385965,Mountain West,5.9,57.0,68.0,comfortable,18.344086021505376,G5,Air Force,Utah State,home,1,conf_game_1,401532581,2023,3,2023-09-16,Utah State,Air Force,21.0,39.0,0.11797001754385965,0.44226748529411763,Mountain West,-10.9,68.0,57.0,large_deficit,-23.85185185185185,G5,Air Force,Utah State,away,1,conf_game_1,401532581,2023,3,2023-09-16,Air Force,Utah State,18.0,60.0,0.324297467750258,-0.324297467750258,16.8,G5_vs_G5,G5,conf_game_1,-11.0,11.0,125.0,11.0,11.0,125.0,42.195937873357224,42.195937873357224,-5.507765830346475,comfortable_vs_large_deficit,0
401532589,2023,5,2023-10-01,Air Force,San Diego State,49.0,10.0,0.7577113958333334,0.0025332857142857145,Mountain West,5.9,42.0,48.0,comfortable,14.847222222222221,G5,Air Force,San Diego State,home,3,conf_games_2_4,401532589,2023,5,2023-10-01,San Diego State,Air Force,10.0,49.0,0.0025332857142857145,0.7577113958333334,Mountain West,-10.3,48.0,42.0,deficit,-13.506849315068493,G5,Air Force,San Diego State,away,2,conf_games_2_4,401532589,2023,5,2023-10-01,Air Force,San Diego State,39.0,59.0,0.7551781101190477,-0.7551781101190477,16.200000000000003,G5_vs_G5,G5,conf_games_2_4,-6.0,6.0,90.0,6.0,6.0,90.0,28.354071537290714,28.354071537290714,1.3403729071537285,comfortable_vs_deficit,0
401532598,2023,7,2023-10-14,Air Force,Wyoming,34.0,27.0,0.4370985737704918,0.4315977796610169,Mountain West,5.9,59.0,61.0,competitive,-2.3255813953488373,G5,Air Force,Wyoming,home,4,conf_games_2_4,401532598,2023,7,2023-10-14,Wyoming,Air Force,27.0,34.0,0.4315977796610169,0.4370985737704918,Mountain West,-3.6,61.0,59.0,competitive,1.1139240506329113,G5,Air Force,Wyoming,away,3,conf_games_2_4,401532598,2023,7,2023-10-14,Air Force,Wyoming,7.0,61.0,0.005500794109474905,-0.005500794109474905,9.5,G5_vs_G5,G5,conf_games_2_4,-2.0,2.0,120.0,2.0,2.0,120.0,-3.439505445981749,3.439505445981749,-1.211657344715926,competitive_vs_competitive,1
401532624,2023,12,2023-11-18,Air Force,UNLV,27.0,31.0,0.21251994366197183,0.29847945161290323,Mountain West,5.9,62.0,71.0,competitive,0.24752475247524752,G5,Air Force,UNLV,home,7,conf_games_5_8,401532624,2023,12,2023-11-18,UNLV,Air Force,31.0,27.0,0.29847945161290323,0.21251994366197183,Mountain West,1.4,71.0,62.0,competitive,-1.595505617977528,G5,Air Force,UNLV,away,7,conf_games_5_8,401532624,2023,12,2023-11-18,Air Force,UNLV,-4.0,58.0,-0.08595950795093141,0.08595950795093141,4.5,G5_vs_G5,G5,conf_games_5_8,-9.0,9.0,133.0,9.0,9.0,133.0,1.8430303704527755,1.8430303704527755,-1.3479808655022805,competitive_vs_competitive,1
401643705,2024,2,2024-09-07,Air Force,San José State,7.0,17.0,-0.10307532307692308,0.026228523076923076,Mountain West,-11.7,65.0,65.0,competitive,-7.122222222222222,G5,Air Force,San José State,home,1,conf_game_1,401643705,2024,2,2024-09-07,San José State,Air Force,17.0,7.0,0.026228523076923076,-0.10307532307692308,Mountain West,-5.5,65.0,65.0,competitive,6.846938775510204,G5,Air Force,San José State,away,1,conf_game_1,401643705,2024,2,2024-09-07,Air Force,San José State,-10.0,24.0,-0.12930384615384616,0.12930384615384616,-6.199999999999999,G5_vs_G5,G5,conf_game_1,0.0,0.0,130.0,0.0,0.0,130.0,-13.969160997732427,13.969160997732427,-0.27528344671201754,competitive_vs_competitive,1
401643734,2024,8,2024-10-20,Air Force,Colorado State,13.0,21.0,0.0259022375,0.21093931034482757,Mountain West,-11.7,58.0,80.0,deficit,-10.61111111111111,G5,Air Force,Colorado State,home,4,conf_games_2_4,401643734,2024,8,2024-10-20,Colorado State,Air Force,21.0,13.0,0.21093931034482757,0.0259022375,Mountain West,-5.7,80.0,58.0,competitive,8.571428571428571,G5,Air Force,Colorado State,away,2,conf_games_2_4,401643734,2024,8,2024-10-20,Air Force,Colorado State,-8.0,34.0,-0.18503707284482757,0.18503707284482757,-5.999999999999999,G5_vs_G5,G5,conf_games_2_4,-22.0,22.0,138.0,22.0,22.0,138.0,-19.182539682539684,19.182539682539684,-2.0396825396825395,deficit_vs_competitive,0
