feature,population,spread_partial_r,spread_signal,ou_partial_r,ou_signal,traj_games_2_4_spread_r,traj_games_2_4_ou_r,variance_signal_spread,variance_signal_ou,yoy_r,yoy_stable,verdict,notes
last3_off_epa_avg,Conference games 2+ (non-null),0.0818,False,0.0368,False,0.1124,0.014,False,False,,False,"conference-specific — signal in ['ACC', 'Conference USA', 'Mid-American', 'Mountain West', 'SEC'], redundant in ['American Athletic', 'Big 12', 'Big Ten', 'Pac-12', 'Sun Belt']",Opponent adjustment handled by opp_sp_rating_at_game_time control.
last3_def_epa_avg,Conference games 2+ (non-null),-0.0999,False,0.0869,False,-0.1268,0.0948,False,False,,False,"conference-specific — signal in ['American Athletic', 'Big Ten', 'Conference USA', 'Mid-American', 'Pac-12'], redundant in ['ACC', 'Big 12', 'Mountain West', 'SEC', 'Sun Belt']",Opponent adjustment handled by opp_sp_rating_at_game_time control.
last3_points_scored_avg,Conference games 2+ (non-null),0.0918,False,0.0689,False,0.1012,0.0366,False,False,,False,"conference-specific — signal in ['ACC', 'Big 12', 'Big Ten', 'Conference USA', 'Mid-American', 'Mountain West'], redundant in ['American Athletic', 'Pac-12', 'SEC', 'Sun Belt']",
last3_points_allowed_avg,Conference games 2+ (non-null),-0.1181,True,0.0999,False,-0.1459,0.091,False,False,,False,"conference-specific supporting — signal holds from conf game 2, concentrates in ['American Athletic', 'Big Ten', 'Conference USA', 'Mountain West', 'Pac-12', 'Sun Belt']",
last3_win_pct,Conference games 2+ (non-null),0.127,True,-0.0135,False,0.1335,-0.0172,False,False,,False,"supporting — in-season only, signal holds from conf game 2, no prior seed",
days_since_last_game,All conf games,0.0257,False,0.018,False,,,False,False,,False,"conference-specific — bye week signal in ['American Athletic', 'Big 12']","All games: spread r=0.0257. Bye week (n=330): spread r=-0.0059. Conferences with bye signal: ['American Athletic', 'Big 12']."
