feature,population,spread_partial_r,spread_signal,ou_partial_r,ou_signal,traj_game1_spread_r,traj_game1_ou_r,yoy_r,yoy_stable,verdict,notes
pregame_elo,FBS conference games (100% coverage),0.1702,True,-0.0448,False,0.187,-0.0568,0.8452,True,"supporting — game-level predictor, spread + O/U signal, holds at conf game 1, not a prior seed","ELO/SP+ r=0.8625. Game-level predictor — YoY stability not gating. Conferences with spread signal: ['ACC', 'American Athletic', 'Big Ten', 'Conference USA', 'Mid-American', 'Mountain West', 'Pac-12', 'SEC']."
elo_sp_divergence,FBS conference games,0.165,True,-0.0449,False,,,,False,supporting — ELO/SP+ divergence adds spread signal beyond SP+ alone. Compute in notebook first.,"Conferences with spread signal: ['ACC', 'American Athletic', 'Big Ten', 'Conference USA', 'Mid-American', 'Mountain West', 'Pac-12', 'SEC']."
prior_avg_excitement_index,FBS conference games (prior-season team average),-0.0282,False,0.0423,False,-0.0427,0.0738,0.1877,False,redundant — no signal after EPA anchor + opp_sp control (YoY r=0.1877),"Retrospective feature — prior-season team avg used as pre-game knowable prior. Conferences with spread signal: ['Mid-American']. Conferences with O/U signal: ['Big 12', 'Mountain West', 'SEC']. Variance signal: see Cell 15."
