venue_id,venue_name,elevation_feet
5807,Brevard Memorial Stadium,2225.5
5808,Edward C. Swenson Athletic Complex,88.3
5809,J. Leslie Rollins Stadium,1435.3
5810,Coyer Field,601.6
5811,William Rolland Stadium,889.8
5812,Bernlohr Stadium,793.1
5813,Klein Field at Manitou,903.0
5814,Gesling Stadium,843.7
5815,Schneider Stadium,811.4
5816,Art Keller Field,602.5
5817,Ron and Joyce Schipper Stadium,890.6
5818,Farris Stadium,983.4
5819,Ernie Chapman Stadium,121.7
5820,Amos Alonzo Stagg Field,594.1
5821,Fritz B. Burns Stadium,1169.3
5822,Cadet Memorial Field,60.0
5823,Clark Field,731.3
5824,Lions Stadium,155.0
5825,Jake Christiansen Stadium,906.1
5826,Concordia Stadium,627.5
5827,Tomasini Stadium,667.7
5828,Van Metre Field at Ash Park,883.5
5830,Walter M. Katz Field,116.6
5831,Dale Lippert Field,835.8
5832,Justin F. Coressel Stadium,675.7
5833,Robert A. Lipinski Field at James Work Memorial Stadium,285.0
5834,Deeds Field-Piper Stadium,958.0
5835,Biddle Field,474.2
5836,Chalmers Field,622.8
5838,Ornelas Stadium,410.9
5839,Langhorst Field,687.2
5840,Fred Selfe Stadium at Nicewonder Field,1066.3
5841,Pete FioRito Stadium at McKinzie Field,767.6
5842,Robert T. Shields Field,252.7
5843,W.B. Adams Stadium,1428.5
5844,McAfee Field,697.2
5845,Elliot Field Athletic Complex,659.2
5847,Sponaugle-Williamson Field,357.9
5848,Hotchkiss Field,22.9
5849,Reeves Field (PA),799.1
5850,Stoffer Family Stadium,181.0
5851,Shirk Field at Musselman Stadium,536.8
5852,Jamieson Stadium,823.2
5853,Francis Field (IL),622.6
5855,Charles A. Henry Field,1250.1
5856,Boswell Field at David J. Urick Stadium,454.3
5857,Gordon Wood Stadium,1362.6
5858,England Stadium,614.4
5859,Tucci Stadium,825.5
5860,Mapleleaf Athletic Complex,733.7
5861,Rosenbloom Field,1020.5
5862,Butterfield Stadium,412.9
5863,Don Shula Stadium at Wasmer Field,1026.2
5864,Robert E. Thorn Field,1270.3
5866,Rex Stadium,7530.9
5867,Albany State University Coliseum,202.6
5868,Ronald J. Abdow Field,65.0
5869,LeGrand Stadium at 1st Community Credit Union Field,1847.4
5870,Thone Stadium at Buerkle Field,347.7
5871,Convoy Leslie Cotton Boll Stadium,297.6
5872,Kirkeby-Over Stadium,1434.7
5873,Bulldogs Stadium,126.8
5874,Chet Anderson Stadium,1356.7
5875,Charlie W. Johnson Stadium,305.6
5876,Bentley University Football Stadium,63.2
5877,Lyle Hare Stadium,3642.5
5878,Wantland Stadium,1211.9
5879,Tomlinson Stadium,1544.2
5880,Elliott Field at Don Beebe Stadium,3374.8
5881,CAU Panther Stadium,1019.1
5882,Ralph Stocker Stadium,4588.7
5883,Marv Kay Stadium at Campbell Field,5676.6
5884,Buffalo Stadium,3540.5
5885,First Security Stadium,892.3
5886,West Family Stadium,662.8
5887,I.L. & Sue Morris Stadium,727.6
5888,University Stadium (GA),1091.6
5889,Carpenter-Haygood Stadium,244.4
5890,Lewis Field Stadium,2024.4
5891,Wilkins Stadium,336.6
5892,Armfield Athletic Center,823.2
5893,Hollingsworth Field,768.6
5894,Steuben Field,1193.0
5895,Klas Field,765.5
5896,Lewis C. Everett Stadium,315.2
5897,Francis Field (MO),466.1
5898,John Coughlin Memorial Field,484.6
5899,"Alumni Stadium (Worcester, MA)",484.6
5900,Don and Nona Williams Stadium,881.9
5901,David Smith Stadium at Ramer Field,865.5
5902,Knox Stadium,632.6
5903,Community Stadium at Goerke Park,1085.9
5904,Angell Field,786.1
5905,Kean Alumni Stadium,103.1
5906,McBride Field,1078.2
5907,McCarthy Stadium (Wilkes Barre),751.7
5908,Harley Knosher Bowl,771.8
5909,Ortmayer Stadium,1059.4
5910,Callaway Stadium,785.0
5911,Ralph E. Davis Pioneer Stadium,981.7
5913,Warrior Field at Raabe Stadium,662.0
5914,Veterans Memorial Stadium (WI),671.0
5915,Farwell Field,685.9
5916,Carson Park,789.2
5917,Ratliff Stadium,2898.0
5918,Taylor Field,844.7
5919,Ron Roberts Field at the Banta Bowl,786.8
5920,Griswold Stadium,33.9
5921,Rock Bowl,622.8
5922,Wildcat Field,119.9
5923,Legacy Field in Carlson Stadium,880.2
5925,David Person Field,546.8
5926,Henry G. Steinbrenner '27 Stadium,21.1
5927,Freesen Field,614.4
5928,Macalester Stadium,765.5
5929,Ritchie Field,86.0
5930,Carl W. Burt Memorial Stadium,771.5
5931,Don Drumm Stadium,609.0
5932,Lloyd L. Thornton Stadium,935.5
5933,Sea Foam Stadium,765.5
5934,Farmers Insurance Athletic Complex,919.6
5935,Parker Field at McCool Stadium,140.1
5936,Koi Ishto Stadium,1012.8
5938,Al Whitehead Field at Greyhound Stadium,4006.6
5939,Cressy Field,72.8
5940,Clean Harbors Stadium,8.7
5941,Roebuck Stadium,6.0
5942,Francis G. Welch Stadium,1147.5
5943,Duvall-Rosier Field,989.3
