feature,population,spread_partial_r,spread_signal,ou_partial_r,ou_signal,traj_games_2_4_spread_r,traj_games_2_4_ou_r,variance_signal_spread,variance_signal_ou,yoy_r,yoy_stable,verdict,notes
last3_off_epa_avg,Conference games 2+ (non-null),0.0801,False,0.0395,False,0.1097,0.0201,False,False,,False,"conference-specific — signal in ['ACC', 'Conference USA', 'Mid-American', 'Mountain West', 'SEC'], redundant in ['American Athletic', 'Big 12', 'Big Ten', 'Pac-12', 'Sun Belt']",Opponent adjustment handled by opp_sp_rating_at_game_time control.
last3_def_epa_avg,Conference games 2+ (non-null),-0.0957,False,0.0866,False,-0.1222,0.0915,False,False,,False,"conference-specific — signal in ['American Athletic', 'Big Ten', 'Conference USA', 'Mid-American', 'Pac-12'], redundant in ['ACC', 'Big 12', 'Mountain West', 'SEC', 'Sun Belt']",Opponent adjustment handled by opp_sp_rating_at_game_time control.
last3_points_scored_avg,Conference games 2+ (non-null),0.0888,False,0.0696,False,0.0969,0.0407,False,False,,False,"conference-specific — signal in ['ACC', 'Big 12', 'Big Ten', 'Conference USA', 'Mid-American', 'Mountain West'], redundant in ['American Athletic', 'Pac-12', 'SEC', 'Sun Belt']",
last3_points_allowed_avg,Conference games 2+ (non-null),-0.1149,True,0.0995,False,-0.1412,0.0891,False,False,,False,"conference-specific supporting — signal holds from conf game 2, concentrates in ['American Athletic', 'Big Ten', 'Conference USA', 'Mountain West', 'Pac-12', 'Sun Belt']",
last3_win_pct,Conference games 2+ (non-null),0.1249,True,-0.0127,False,0.1296,-0.0154,False,False,,False,"conference-specific supporting — signal holds from conf game 2, concentrates in ['American Athletic', 'Big 12', 'Big Ten', 'Conference USA', 'Mountain West', 'Pac-12', 'Sun Belt']",
days_since_last_game,All conf games,0.0205,False,0.0143,False,,,False,False,,False,"conference-specific — bye week signal in ['American Athletic', 'Big 12']","All games: spread r=0.0205. Bye week (n=326): spread r=-0.0151. Conferences with bye signal: ['American Athletic', 'Big 12']."
